rusher_player_id,rusher_player_name,yards_above_expected,rush_attempts
00-0038046,C.Kolar,-1.59925193,1
00-0034974,J.Love,-1.59925193,1
00-0033921,C.Godwin,-1.59925193,1
00-0036187,R.Gilliam,-1.60161657,3
00-0031588,S.Diggs,-1.60398121,3
00-0026158,J.Flacco,-1.61954505222222,9
00-0039573,B.Watson,-1.634270575,4
00-0031345,J.Garoppolo,-1.66574226,2
00-0027973,A.Dalton,-1.68710049545454,11
00-0038040,Z.White,-1.72317606692308,65
00-0037744,T.McBride,-1.72513867,1
00-0036849,T.Atwell,-1.72750331,3
00-0038573,D.Davis,-1.73059553153846,13
00-0036212,T.Tagovailoa,-1.73139801117647,17
00-0036963,A.St. Brown,-1.73223259,2
00-0039703,C.Schrader,-1.73223259,1
00-0036322,J.Jefferson,-1.73223259,1
00-0039338,B.Bowers,-1.75457237,5
00-0038976,M.Mims,-1.77324898066667,15
00-0039393,J.McClellan,-1.86398312230769,13
00-0034753,M.Andrews,-1.97425193,8
00-0039062,J.Mingo,-1.98045911,2
00-0033949,J.Dobbs,-2.02360367666667,9
00-0035125,A.Ingold,-2.050316018,10
00-0039364,S.Vaki,-2.06320128333333,6
00-0033282,C.Samuel,-2.08418240666667,6
00-0037827,T.Davis-Price,-2.10516353,3
00-0039757,T.Jennings,-2.11630228846154,13
00-0033893,D.Cook,-2.1220816925,8
00-0038396,E.Gray,-2.13129474571429,14
00-0039344,J.Brooks,-2.14791399,9
00-0039244,C.Collier,-2.155991154,5
00-0039603,B.Brooks,-2.22868563,1
00-0039811,M.Lloyd,-2.33713820666667,6
00-0038544,Q.Johnston,-2.52242135666667,3
00-0038454,K.Mitchell,-2.52242135666667,15
00-0039067,R.Rice,-2.59925193,1
00-0034613,T.Hudson,-2.59925193,1
00-0031595,M.Burton,-2.61824916714286,7
00-0036450,K.Vaughn,-2.66928922,2
00-0033106,J.Goff,-2.70947798666667,36
00-0038579,A.O'Connell,-2.71618970809524,21
00-0039825,J.Hicks,-2.72513867,1
00-0030506,T.Kelce,-2.72513867,1
00-0039398,J.Milton,-2.729395022,10
00-0037261,K.Shakir,-2.73223259,2
00-0039890,A.Mitchell,-2.85457237,4
00-0039917,M.Penix,-2.98096581857143,7
00-0038998,J.Haener,-2.98400607,11
00-0026498,M.Stafford,-3.17544245411765,34
00-0035264,J.Stidham,-3.198987425,4
00-0032434,B.Allen,-3.31497476333333,3
00-0033557,J.Reeves-Maybin,-3.35457237,1
00-0037077,S.Howell,-3.36166629,1
00-0034270,T.Conklin,-3.59925193,1
00-0033589,D.Moore,-3.59925193,1
00-0036331,D.Duvernay,-3.636044055,4
00-0038108,B.Zappe,-3.66928922,2
00-0036980,E.Moore,-3.73223259,1
00-0036912,D.Smith,-3.73223259,1
00-0036268,L.Shenault,-3.73223259,1
00-0035659,T.McLaurin,-3.73223259,2
00-0033662,C.Rush,-3.74941703615385,26
00-0036297,D.Evans,-3.77419483666667,3
00-0039907,J.Polk,-3.85102541,1
00-0039337,M.Nabers,-3.853862978,5
00-0038102,K.Pickett,-3.96298199857143,14
00-0036370,J.Kelley,-3.99109999,1
00-0038550,H.Hooker,-4.155991154,5
00-0037742,T.Burks,-4.23223259,2
00-0039407,D.Laube,-4.35457237,1
00-0026300,J.Johnson,-4.35634585,4
00-0034162,J.Scott,-4.48045911,1
00-0038582,C.Tune,-4.51237308142857,7
00-0029604,K.Cousins,-4.66107921521739,23
00-0033869,M.Trubisky,-4.70634585,20
00-0033858,J.Smith,-4.72868563,2
00-0038400,T.McKee,-4.730813806,5
00-0032464,K.Raymond,-4.73223259,2
00-0035311,M.Gaskin,-4.85575469,3
00-0032950,C.Wentz,-4.98400607,3
00-0037291,J.Nailor,-5.31024548333333,3
00-0035280,J.Bailey,-5.36166629,1
00-0033319,N.Mullens,-5.44086150333333,3
00-0031236,B.Cooks,-5.48045911,3
00-0036928,K.Trask,-5.607764634,5
00-0039614,J.Jackson,-5.73223259,1
00-0038997,J.Downs,-5.73223259,1
00-0036387,J.Reagor,-5.73223259,3
00-0035100,J.Browning,-5.73223259,2
00-0034488,T.Thomas,-5.85102541,1
00-0038416,T.Bagent,-6.06674824333333,6
00-0037238,D.London,-6.59925193,1
00-0036913,K.Toney,-6.73223259,2
00-0037247,G.Pickens,-7.73223259,2
00-0035631,D.Sample,-8.10279889,1
00-0038129,C.Otton,-8.48045911,1
00-0038979,C.Tillman,-8.59925193,1
00-0036637,N.Gray,-8.73223259,1
00-0039392,J.Jackson,-9.35457237,1
00-0037284,M.Araiza,-23.36166629,1
